"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Thermoanaerobacteraceae",0.0,0.0026833631484794273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lachnospiraceae",0.0,0.04037822642473805,0.14689025684568033,0.057116007100344576,0.0,0.0,0.16567616737416616,0.050005556172908104,0.010661469677863121,0.0477414616232097,0.025252525252525252,0.0,0.023629799803085,0.0190455578400606,0.0017527580162903392,0.015336039693279206,0.05789417877213445,0.03578360019408054,0.05237334550433592,0.03012115149494276,0.008321151467446306,0.0
"Veillonellaceae",0.0,0.024661385126501404,0.06973041817023987,0.02610420799832933,0.0,0.0,0.004972710733778047,0.022669185465051672,0.0906798119912874,0.07467254253886645,0.145983645983646,0.0,0.0421179302045728,0.022183746347797857,0.001546551190844417,0.0019170049616599007,0.020146325946347153,0.036875303250849104,0.04130534002738476,0.0053351117039013,0.02114022264702575,0.00030290791599353796
"Ruminococcaceae",0.0,0.0,0.007111016769263426,0.0015662524798997599,0.0,0.0,0.001091570648878108,0.001000111123458162,0.0,0.0,0.0,0.0005079236082893133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Erysipelotrichaceae",0.0,0.013161257347303858,0.0,0.028819045630155582,0.0,0.0001004419445560466,0.0,0.001889098788754306,0.006075891321792961,0.01775003060350104,0.007575757575757576,0.0,0.0003281916639317361,0.000757493777729683,0.0,0.0,0.0,0.019408054342552158,0.019169329073482427,0.006335445148382794,0.0,0.0
"Family XI",0.03176513054987366,0.11027344748274981,0.0015920186796858416,0.0005220841599665867,0.0,0.0,0.010430563978168586,0.067896432936993,0.03748710306087355,0.08042600073448403,0.015993265993265993,0.0,0.10097363526966414,0.021859106157342278,0.0029899989689658726,0.0029318899413622013,0.0652104760894921,0.07714701601164484,0.045755362848014604,0.04712682005112816,0.06735634768919375,0.0
"Fusobacteriaceae",0.0,0.0016611295681063123,0.039588197834854594,0.0,0.0,0.0,0.038447543966040026,0.046782975886209575,0.02269861286254729,0.02191210674501163,0.017195767195767195,0.0,0.06093425226999234,0.0,0.00010310341272296113,0.0,0.11366769165517973,0.024017467248908297,0.015061615700593337,0.01633877959319773,0.006746879568199708,0.0
"Propionibacteriaceae",0.23186138852123692,0.16687963199591108,0.32158777329654004,0.43353868643625354,0.7669210684876481,0.8678184009642427,0.2498483929654336,0.1227914212690299,0.029691619855554283,0.00918105031215571,0.06084656084656084,0.0987403494514425,0.01761295263100317,0.4021209825776431,0.8768945252087844,0.2338746053225079,0.1663662389990457,0.010431829209121786,0.28160657234139663,0.13771257085695232,0.21511301023276735,0.8869143780290791
"Actinomycetaceae",0.06834315966791,0.10618451316125735,0.09637019741031629,0.09512373394591209,0.0,0.008035355564483728,0.09108550636749545,0.16568507611956884,0.15625358248309068,0.18068307014322438,0.06721981721981722,0.002336448598130841,0.15545345148233236,0.08635429066118386,0.0034024126198577173,0.0037212449255751017,0.06383204326158413,0.3064046579330422,0.24269739844819718,0.5450705790819161,0.0276622062296188,0.00030290791599353796
"Mycobacteriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043285358727410453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Actinopolysporaceae",0.0004812898568162676,0.0,0.0,0.0,0.0,0.0027119325030132584,0.0,0.0,0.0,0.0009793120332966092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011469695265939503,0.0
